date,rate
20030207,1.0801
20030210,1.0740
20030211,1.0747
20030212,1.0716
20030213,1.0834
20030214,1.0799
20030218,1.0708
20030219,1.0744
20030220,1.0821
20030221,1.0787
20030224,1.0783
20030225,1.0782
20030226,1.0797
20030227,1.0763
20030228,1.0779
20030303,1.0835
20030304,1.0883
20030305,1.0967
20030306,1.0997
20030307,1.1014
20030310,1.1062
20030311,1.1028
20030312,1.1023
20030313,1.0870
20030314,1.0725
20030317,1.0606
20030318,1.0624
20030319,1.0590
20030320,1.0613
20030321,1.0545
20030324,1.0644
20030325,1.0673
20030326,1.0677
20030327,1.0708
20030328,1.0762
20030331,1.0900
20030401,1.0904
20030402,1.0765
20030403,1.0736
20030404,1.0711
20030407,1.0621
20030408,1.0684
20030409,1.0722
20030410,1.0803
20030411,1.0751
20030414,1.0773
20030415,1.0801
20030416,1.0872
20030417,1.0907
20030418,1.0882
20030421,1.0857
20030422,1.0966
20030423,1.0949
20030424,1.1039
20030425,1.1040
20030428,1.0999
20030429,1.1010
20030430,1.1180
20030501,1.1238
20030502,1.1200
20030505,1.1271
20030506,1.1354
20030507,1.1340
20030508,1.1453
20030509,1.1498
20030512,1.1557
20030513,1.1499
20030514,1.1498
20030515,1.1457
20030516,1.1542
20030519,1.1686
20030520,1.1685
20030521,1.1707
20030522,1.1700
20030523,1.1786
20030527,1.1853
20030528,1.1742
20030529,1.1835
20030530,1.1766
20030602,1.1744
20030603,1.1702
20030604,1.1708
20030605,1.1870
20030606,1.1695
20030609,1.1743
20030610,1.1686
20030611,1.1764
20030612,1.1767
20030613,1.1830
20030616,1.1843
20030617,1.1812
20030618,1.1710
20030619,1.1678
20030620,1.1616
20030623,1.1548
20030624,1.1498
20030625,1.1592
20030626,1.1429
20030627,1.1423
20030630,1.1502
20030701,1.1580
20030702,1.1524
20030703,1.1503
20030707,1.1341
20030708,1.1265
20030709,1.1311
20030710,1.1390
20030711,1.1304
20030714,1.1298
20030715,1.1233
20030716,1.1209
20030717,1.1164
20030718,1.1239
20030721,1.1346
20030722,1.1325
20030723,1.1484
20030724,1.1441
20030725,1.1513
20030728,1.1497
20030729,1.1466
20030730,1.1367
20030731,1.1231
20030801,1.1252
20030804,1.1337
20030805,1.1349
20030806,1.1357
20030807,1.1390
20030808,1.1321
20030811,1.1349
20030812,1.1304
20030813,1.1317
20030814,1.1249
20030815,1.1255
20030818,1.1138
20030819,1.1117
20030820,1.1104
20030821,1.0976
20030822,1.0871
